"Observations","count","prop","win_start","win_end","win_days","region","regname"
"9",45,0.0300802139037433,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"1",354,0.243466299862448,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"10",30,0.0206327372764787,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"11",18,0.0123796423658872,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"12",29,0.0199449793672627,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"13",20,0.0137551581843191,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"14",23,0.015818431911967,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"15",8,0.00550206327372765,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"16",9,0.0061898211829436,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"17",5,0.00343878954607978,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"18",6,0.00412654745529574,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"19",5,0.00343878954607978,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"2",238,0.163686382393398,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"20",2,0.00137551581843191,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"21",4,0.00275103163686382,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"22",1,0.000687757909215956,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"23",1,0.000687757909215956,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"24",2,0.00137551581843191,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"25",1,0.000687757909215956,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"28",1,0.000687757909215956,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"3",198,0.136176066024759,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"4",156,0.107290233837689,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"5",81,0.0557083906464924,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"6",93,0.0639614855570839,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"7",64,0.0440165061898212,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"8",59,0.0405777166437414,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"9",46,0.031636863823934,"2002-01-01","2018-01-01",5844,3,"Rest of North Island"
"1",349,0.247517730496454,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"10",32,0.0226950354609929,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"11",24,0.0170212765957447,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"12",20,0.0141843971631206,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"13",15,0.0106382978723404,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"14",18,0.0127659574468085,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"15",9,0.00638297872340425,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"16",12,0.00851063829787234,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"17",2,0.00141843971631206,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"18",7,0.0049645390070922,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"19",2,0.00141843971631206,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"2",232,0.164539007092199,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"20",2,0.00141843971631206,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"21",4,0.00283687943262411,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
"22",1,0.000709219858156028,"2003-01-01","2018-01-01",5479,3,"Rest of North Island"
